,created_day,count_requests
119,2016-04-29,54
120,2016-04-30,19
121,2016-05-01,15
122,2016-05-02,33
123,2016-05-03,80
124,2016-05-04,47
125,2016-05-05,44
126,2016-05-06,86
127,2016-05-07,14
128,2016-05-08,11
129,2016-05-09,61
130,2016-05-10,42
131,2016-05-11,66
132,2016-05-12,32
133,2016-05-13,36
134,2016-05-14,21
135,2016-05-15,15
136,2016-05-16,52
137,2016-05-17,51
138,2016-05-18,50
139,2016-05-19,59
140,2016-05-20,49
141,2016-05-21,13
142,2016-05-22,12
143,2016-05-23,62
144,2016-05-24,68
145,2016-05-25,48
146,2016-05-26,39
147,2016-05-27,44
148,2016-05-28,13
149,2016-05-29,14
150,2016-05-30,17
151,2016-05-31,53
152,2016-06-01,75
153,2016-06-02,82
154,2016-06-03,43
155,2016-06-04,24
156,2016-06-05,20
157,2016-06-06,66
158,2016-06-07,55
159,2016-06-08,64
160,2016-06-09,38
161,2016-06-10,53
162,2016-06-11,14
163,2016-06-12,21
164,2016-06-13,59
165,2016-06-14,48
166,2016-06-15,54
167,2016-06-16,48
168,2016-06-17,46
169,2016-06-18,12
170,2016-06-19,15
171,2016-06-20,56
172,2016-06-21,38
173,2016-06-22,63
174,2016-06-23,55
175,2016-06-24,46
176,2016-06-25,26
177,2016-06-26,16
178,2016-06-27,53
179,2016-06-28,48
180,2016-06-29,50
181,2016-06-30,51
182,2016-07-01,38
183,2016-07-02,15
184,2016-07-03,17
185,2016-07-04,20
186,2016-07-05,72
187,2016-07-06,60
188,2016-07-07,72
189,2016-07-08,74
190,2016-07-09,40
191,2016-07-10,23
192,2016-07-11,62
193,2016-07-12,74
194,2016-07-13,61
195,2016-07-14,51
196,2016-07-15,56
197,2016-07-16,27
198,2016-07-17,21
199,2016-07-18,54
200,2016-07-19,71
201,2016-07-20,54
202,2016-07-21,44
203,2016-07-22,47
204,2016-07-23,22
205,2016-07-24,17
206,2016-07-25,69
207,2016-07-26,85
208,2016-07-27,80
209,2016-07-28,65
210,2016-07-29,53
211,2016-07-30,34
212,2016-07-31,20
213,2016-08-01,79
214,2016-08-02,43
215,2016-08-03,67
216,2016-08-04,78
217,2016-08-05,55
218,2016-08-06,27
219,2016-08-07,26
220,2016-08-08,109
221,2016-08-09,65
222,2016-08-10,58
223,2016-08-11,34
224,2016-08-12,47
225,2016-08-13,19
226,2016-08-14,4
227,2016-08-15,52
228,2016-08-16,49
229,2016-08-17,79
230,2016-08-18,60
231,2016-08-19,46
232,2016-08-20,14
233,2016-08-21,17
234,2016-08-22,81
235,2016-08-23,48
236,2016-08-24,53
237,2016-08-25,44
238,2016-08-26,62
239,2016-08-27,9
240,2016-08-28,19
241,2016-08-29,55
242,2016-08-30,44
243,2016-08-31,72
244,2016-09-01,70
245,2016-09-02,64
246,2016-09-03,25
247,2016-09-04,22
248,2016-09-05,33
249,2016-09-06,74
250,2016-09-07,66
251,2016-09-08,65
252,2016-09-09,66
253,2016-09-10,38
254,2016-09-11,43
255,2016-09-12,80
256,2016-09-13,67
257,2016-09-14,93
258,2016-09-15,52
259,2016-09-16,72
260,2016-09-17,23
261,2016-09-18,28
262,2016-09-19,170
263,2016-09-20,127
264,2016-09-21,88
265,2016-09-22,93
266,2016-09-23,70
267,2016-09-24,46
268,2016-09-25,20
269,2016-09-26,59
270,2016-09-27,67
271,2016-09-28,71
272,2016-09-29,49
273,2016-09-30,62
274,2016-10-01,22
275,2016-10-02,35
276,2016-10-03,76
277,2016-10-04,55
278,2016-10-05,68
279,2016-10-06,85
280,2016-10-07,47
281,2016-10-08,36
282,2016-10-09,33
283,2016-10-10,73
284,2016-10-11,68
285,2016-10-12,64
286,2016-10-13,64
287,2016-10-14,70
288,2016-10-15,35
289,2016-10-16,24
290,2016-10-17,56
291,2016-10-18,71
292,2016-10-19,64
293,2016-10-20,48
294,2016-10-21,58
295,2016-10-22,20
296,2016-10-23,8
297,2016-10-24,56
298,2016-10-25,77
299,2016-10-26,73
300,2016-10-27,67
301,2016-10-28,49
302,2016-10-29,25
303,2016-10-30,24
304,2016-10-31,64
305,2016-11-01,51
306,2016-11-02,63
307,2016-11-03,69
308,2016-11-04,60
309,2016-11-05,33
310,2016-11-06,18
311,2016-11-07,51
312,2016-11-08,67
313,2016-11-09,54
314,2016-11-10,56
315,2016-11-11,39
316,2016-11-12,24
317,2016-11-13,27
318,2016-11-14,82
319,2016-11-15,73
320,2016-11-16,59
321,2016-11-17,48
322,2016-11-18,54
323,2016-11-19,26
324,2016-11-20,20
325,2016-11-21,69
326,2016-11-22,58
327,2016-11-23,43
328,2016-11-24,14
329,2016-11-25,38
330,2016-11-26,24
331,2016-11-27,28
332,2016-11-28,67
333,2016-11-29,58
334,2016-11-30,58
335,2016-12-01,70
336,2016-12-02,48
337,2016-12-03,35
338,2016-12-04,30
339,2016-12-05,76
340,2016-12-06,73
341,2016-12-07,56
342,2016-12-08,65
343,2016-12-09,53
344,2016-12-10,28
345,2016-12-11,29
346,2016-12-12,64
347,2016-12-13,81
348,2016-12-14,59
349,2016-12-15,49
350,2016-12-16,41
351,2016-12-17,17
352,2016-12-18,21
353,2016-12-19,76
354,2016-12-20,52
355,2016-12-21,56
356,2016-12-22,50
357,2016-12-23,34
358,2016-12-24,12
359,2016-12-25,8
360,2016-12-26,22
361,2016-12-27,56
362,2016-12-28,66
363,2016-12-29,50
364,2016-12-30,66
365,2016-12-31,15
366,2017-01-01,28
367,2017-01-02,48
368,2017-01-03,74
369,2017-01-04,61
370,2017-01-05,49
371,2017-01-06,56
372,2017-01-07,31
373,2017-01-08,31
374,2017-01-09,62
375,2017-01-10,53
376,2017-01-11,68
377,2017-01-12,63
378,2017-01-13,50
379,2017-01-14,27
380,2017-01-15,33
381,2017-01-16,60
382,2017-01-17,68
383,2017-01-18,76
384,2017-01-19,72
385,2017-01-20,55
386,2017-01-21,28
387,2017-01-22,11
388,2017-01-23,66
389,2017-01-24,81
390,2017-01-25,69
391,2017-01-26,52
392,2017-01-27,46
393,2017-01-28,25
394,2017-01-29,43
395,2017-01-30,101
396,2017-01-31,71
397,2017-02-01,50
398,2017-02-02,58
399,2017-02-03,46
400,2017-02-04,26
401,2017-02-05,39
402,2017-02-06,41
403,2017-02-07,64
404,2017-02-08,65
405,2017-02-09,84
406,2017-02-10,59
407,2017-02-11,48
408,2017-02-12,25
409,2017-02-13,74
410,2017-02-14,55
411,2017-02-15,70
412,2017-02-16,60
413,2017-02-17,28
414,2017-02-18,23
415,2017-02-19,37
416,2017-02-20,35
417,2017-02-21,63
418,2017-02-22,66
419,2017-02-23,67
420,2017-02-24,56
421,2017-02-25,23
422,2017-02-26,25
423,2017-02-27,88
424,2017-02-28,72
425,2017-03-01,71
426,2017-03-02,61
427,2017-03-03,54
428,2017-03-04,40
429,2017-03-05,46
430,2017-03-06,70
431,2017-03-07,74
432,2017-03-08,74
433,2017-03-09,59
434,2017-03-10,64
435,2017-03-11,32
436,2017-03-12,30
437,2017-03-13,85
438,2017-03-14,99
439,2017-03-15,97
440,2017-03-16,73
441,2017-03-17,69
442,2017-03-18,27
443,2017-03-19,40
444,2017-03-20,78
445,2017-03-21,75
446,2017-03-22,68
447,2017-03-23,65
448,2017-03-24,72
449,2017-03-25,23
450,2017-03-26,37
451,2017-03-27,66
452,2017-03-28,89
453,2017-03-29,97
454,2017-03-30,76
455,2017-03-31,57
456,2017-04-01,29
457,2017-04-02,35
458,2017-04-03,90
459,2017-04-04,88
460,2017-04-05,67
461,2017-04-06,75
462,2017-04-07,68
463,2017-04-08,46
464,2017-04-09,46
465,2017-04-10,94
466,2017-04-11,76
467,2017-04-12,65
468,2017-04-13,64
469,2017-04-14,50
470,2017-04-15,42
471,2017-04-16,42
472,2017-04-17,74
473,2017-04-18,82
474,2017-04-19,76
475,2017-04-20,97
476,2017-04-21,55
477,2017-04-22,30
478,2017-04-23,33
479,2017-04-24,90
480,2017-04-25,82
481,2017-04-26,77
482,2017-04-27,69
483,2017-04-28,44
484,2017-04-29,30
485,2017-04-30,27
486,2017-05-01,55
487,2017-05-02,81
488,2017-05-03,111
489,2017-05-04,79
490,2017-05-05,74
491,2017-05-06,42
492,2017-05-07,45
493,2017-05-08,72
494,2017-05-09,101
495,2017-05-10,101
496,2017-05-11,80
497,2017-05-12,63
498,2017-05-13,25
499,2017-05-14,30
500,2017-05-15,84
501,2017-05-16,90
502,2017-05-17,97
503,2017-05-18,61
504,2017-05-19,59
505,2017-05-20,30
506,2017-05-21,36
507,2017-05-22,72
508,2017-05-23,76
509,2017-05-24,83
510,2017-05-25,62
511,2017-05-26,75
512,2017-05-27,35
513,2017-05-28,33
514,2017-05-29,51
515,2017-05-30,105
516,2017-05-31,111
517,2017-06-01,83
518,2017-06-02,94
519,2017-06-03,42
520,2017-06-04,19
521,2017-06-05,89
522,2017-06-06,127
523,2017-06-07,73
524,2017-06-08,74
525,2017-06-09,71
526,2017-06-10,39
527,2017-06-11,31
528,2017-06-12,89
529,2017-06-13,108
530,2017-06-14,91
531,2017-06-15,95
532,2017-06-16,63
533,2017-06-17,41
534,2017-06-18,71
535,2017-06-19,103
536,2017-06-20,99
537,2017-06-21,90
538,2017-06-22,83
539,2017-06-23,72
540,2017-06-24,28
541,2017-06-25,32
542,2017-06-26,58
543,2017-06-27,120
544,2017-06-28,99
545,2017-06-29,75
546,2017-06-30,95
547,2017-07-01,47
548,2017-07-02,47
549,2017-07-03,78
550,2017-07-04,38
551,2017-07-05,91
552,2017-07-06,99
553,2017-07-07,73
554,2017-07-08,53
555,2017-07-09,55
556,2017-07-10,96
557,2017-07-11,124
558,2017-07-12,84
559,2017-07-13,94
560,2017-07-14,71
561,2017-07-15,44
562,2017-07-16,44
563,2017-07-17,115
564,2017-07-18,86
565,2017-07-19,40
566,2017-07-20,89
567,2017-07-21,76
568,2017-07-22,58
569,2017-07-23,54
570,2017-07-24,107
571,2017-07-25,104
572,2017-07-26,86
573,2017-07-27,91
574,2017-07-28,78
575,2017-07-29,40
576,2017-07-30,40
577,2017-07-31,130
578,2017-08-01,81
579,2017-08-02,103
580,2017-08-03,77
581,2017-08-04,60
582,2017-08-05,41
583,2017-08-06,60
584,2017-08-07,74
585,2017-08-08,120
586,2017-08-09,88
587,2017-08-10,94
588,2017-08-11,84
589,2017-08-12,35
590,2017-08-13,46
591,2017-08-14,99
592,2017-08-15,78
593,2017-08-16,125
594,2017-08-17,92
595,2017-08-18,63
596,2017-08-19,52
597,2017-08-20,32
598,2017-08-21,107
599,2017-08-22,105
600,2017-08-23,102
601,2017-08-24,92
602,2017-08-25,75
603,2017-08-26,45
604,2017-08-27,56
605,2017-08-28,115
606,2017-08-29,118
607,2017-08-30,103
608,2017-08-31,90
609,2017-09-01,65
610,2017-09-02,78
611,2017-09-03,44
612,2017-09-04,67
613,2017-09-05,112
614,2017-09-06,128
615,2017-09-07,134
616,2017-09-08,93
617,2017-09-09,52
618,2017-09-10,42
619,2017-09-11,104
620,2017-09-12,141
621,2017-09-13,109
622,2017-09-14,114
623,2017-09-15,118
624,2017-09-16,25
625,2017-09-17,56
626,2017-09-18,104
627,2017-09-19,122
628,2017-09-20,110
629,2017-09-21,83
630,2017-09-22,83
631,2017-09-23,55
632,2017-09-24,35
633,2017-09-25,120
634,2017-09-26,113
635,2017-09-27,95
636,2017-09-28,90
637,2017-09-29,90
638,2017-09-30,88
639,2017-10-01,38
640,2017-10-02,34
641,2017-10-03,139
642,2017-10-04,106
643,2017-10-05,86
644,2017-10-06,126
645,2017-10-07,47
646,2017-10-08,58
647,2017-10-09,105
648,2017-10-10,100
649,2017-10-11,127
650,2017-10-12,96
651,2017-10-13,96
652,2017-10-14,57
653,2017-10-15,62
654,2017-10-16,99
655,2017-10-17,104
656,2017-10-18,94
657,2017-10-19,110
658,2017-10-20,76
659,2017-10-21,29
660,2017-10-22,38
661,2017-10-23,87
662,2017-10-24,117
663,2017-10-25,90
664,2017-10-26,107
665,2017-10-27,60
666,2017-10-28,41
667,2017-10-29,74
668,2017-10-30,84
669,2017-10-31,93
670,2017-11-01,88
671,2017-11-02,120
672,2017-11-03,93
673,2017-11-04,80
674,2017-11-05,35
675,2017-11-06,146
676,2017-11-07,115
677,2017-11-08,81
678,2017-11-09,87
679,2017-11-10,64
680,2017-11-11,48
681,2017-11-12,46
682,2017-11-13,84
683,2017-11-14,115
684,2017-11-15,63
685,2017-11-16,84
686,2017-11-17,66
687,2017-11-18,53
688,2017-11-19,61
689,2017-11-20,105
690,2017-11-21,79
691,2017-11-22,78
692,2017-11-23,21
693,2017-11-24,30
694,2017-11-25,38
695,2017-11-26,31
696,2017-11-27,109
697,2017-11-28,139
698,2017-11-29,94
699,2017-11-30,89
700,2017-12-01,102
701,2017-12-02,51
702,2017-12-03,37
703,2017-12-04,94
704,2017-12-05,54
705,2017-12-06,55
706,2017-12-07,59
707,2017-12-08,48
708,2017-12-09,47
709,2017-12-10,38
710,2017-12-11,104
711,2017-12-12,90
712,2017-12-13,120
713,2017-12-14,66
714,2017-12-15,66
715,2017-12-16,54
716,2017-12-17,48
717,2017-12-18,64
718,2017-12-19,62
719,2017-12-20,85
720,2017-12-21,60
721,2017-12-22,54
722,2017-12-23,29
723,2017-12-24,27
724,2017-12-25,15
725,2017-12-26,78
726,2017-12-27,69
727,2017-12-28,75
728,2017-12-29,75
729,2017-12-30,50
730,2017-12-31,23
731,2018-01-01,49
732,2018-01-02,81
733,2018-01-03,102
734,2018-01-04,91
735,2018-01-05,85
736,2018-01-06,108
737,2018-01-07,68
738,2018-01-08,105
739,2018-01-09,50
740,2018-01-10,85
741,2018-01-11,116
742,2018-01-12,102
743,2018-01-13,48
744,2018-01-14,68
745,2018-01-15,120
746,2018-01-16,118
747,2018-01-17,133
748,2018-01-18,133
749,2018-01-19,96
750,2018-01-20,44
751,2018-01-21,35
752,2018-01-22,100
753,2018-01-23,108
754,2018-01-24,112
755,2018-01-25,138
756,2018-01-26,87
757,2018-01-27,81
758,2018-01-28,43
759,2018-01-29,105
760,2018-01-30,119
761,2018-01-31,99
762,2018-02-01,110
763,2018-02-02,77
764,2018-02-03,49
765,2018-02-04,43
766,2018-02-05,83
767,2018-02-06,126
768,2018-02-07,96
769,2018-02-08,133
770,2018-02-09,110
771,2018-02-10,49
772,2018-02-11,34
773,2018-02-12,80
774,2018-02-13,83
775,2018-02-14,101
776,2018-02-15,98
777,2018-02-16,42
778,2018-02-17,24
779,2018-02-18,15
780,2018-02-19,28
781,2018-02-20,70
782,2018-02-21,89
783,2018-02-22,109
784,2018-02-23,81
785,2018-02-25,53
786,2018-02-26,128
787,2018-02-27,110
788,2018-02-28,114
789,2018-03-01,102
790,2018-03-02,50
791,2018-03-03,48
792,2018-03-04,63
793,2018-03-05,182
794,2018-03-06,125
795,2018-03-07,118
796,2018-03-08,118
797,2018-03-09,118
798,2018-03-10,6
799,2018-03-11,86
800,2018-03-12,124
801,2018-03-13,114
802,2018-03-14,89
803,2018-03-15,90
804,2018-03-16,92
805,2018-03-17,36
806,2018-03-18,54
807,2018-03-19,90
808,2018-03-20,126
809,2018-03-21,57
810,2018-03-22,71
811,2018-03-23,92
812,2018-03-24,43
813,2018-03-25,64
814,2018-03-26,118
815,2018-03-27,123
816,2018-03-28,101
817,2018-03-29,116
818,2018-03-30,79
819,2018-03-31,37
820,2018-04-01,42
821,2018-04-02,149
822,2018-04-03,153
823,2018-04-04,144
824,2018-04-05,97
825,2018-04-06,101
826,2018-04-07,69
827,2018-04-08,68
828,2018-04-09,108
829,2018-04-10,135
830,2018-04-11,128
831,2018-04-12,92
832,2018-04-13,91
833,2018-04-14,45
834,2018-04-15,49
835,2018-04-16,122
836,2018-04-17,98
837,2018-04-18,94
838,2018-04-19,101
839,2018-04-20,81
840,2018-04-21,39
841,2018-04-22,61
842,2018-04-23,138
843,2018-04-24,139
844,2018-04-25,107
845,2018-04-26,107
846,2018-04-27,115
847,2018-04-28,29
848,2018-04-29,62
849,2018-04-30,170
850,2018-05-01,107
851,2018-05-02,132
852,2018-05-03,120
853,2018-05-04,109
854,2018-05-05,75
855,2018-05-06,64
856,2018-05-07,161
857,2018-05-08,127
858,2018-05-09,116
859,2018-05-10,110
860,2018-05-11,95
861,2018-05-12,48
862,2018-05-13,45
863,2018-05-14,172
864,2018-05-15,129
865,2018-05-16,113
866,2018-05-17,114
867,2018-05-18,102
868,2018-05-19,65
869,2018-05-20,86
870,2018-05-21,160
871,2018-05-22,123
872,2018-05-23,140
873,2018-05-24,136
874,2018-05-25,83
875,2018-05-26,63
876,2018-05-27,59
877,2018-05-28,70
878,2018-05-29,135
879,2018-05-30,142
880,2018-05-31,130
881,2018-06-01,115
882,2018-06-02,56
883,2018-06-03,80
884,2018-06-04,172
885,2018-06-05,165
886,2018-06-06,156
887,2018-06-07,136
888,2018-06-08,91
889,2018-06-09,78
890,2018-06-10,66
891,2018-06-11,168
892,2018-06-12,172
893,2018-06-13,173
894,2018-06-14,145
895,2018-06-15,161
896,2018-06-16,86
897,2018-06-17,83
898,2018-06-18,165
899,2018-06-19,199
900,2018-06-20,149
901,2018-06-21,132
902,2018-06-22,124
903,2018-06-23,111
904,2018-06-24,73
905,2018-06-25,179
906,2018-06-26,157
907,2018-06-27,152
908,2018-06-28,116
909,2018-06-29,114
910,2018-06-30,56
911,2018-07-01,54
912,2018-07-02,118
913,2018-07-03,113
914,2018-07-04,60
915,2018-07-05,112
916,2018-07-06,88
917,2018-07-07,54
918,2018-07-08,82
919,2018-07-09,133
920,2018-07-10,171
921,2018-07-11,143
922,2018-07-12,143
923,2018-07-13,128
924,2018-07-14,64
925,2018-07-15,63
926,2018-07-16,121
927,2018-07-17,150
928,2018-07-18,158
929,2018-07-19,115
930,2018-07-20,121
931,2018-07-21,56
932,2018-07-22,69
933,2018-07-23,150
934,2018-07-24,140
935,2018-07-25,139
936,2018-07-26,119
937,2018-07-27,125
938,2018-07-28,68
939,2018-07-29,73
940,2018-07-30,128
941,2018-07-31,137
942,2018-08-01,160
943,2018-08-02,118
944,2018-08-03,100
945,2018-08-04,64
946,2018-08-05,121
947,2018-08-06,190
948,2018-08-07,160
949,2018-08-08,158
950,2018-08-09,132
951,2018-08-10,138
952,2018-08-11,75
953,2018-08-12,115
954,2018-08-13,140
955,2018-08-14,137
956,2018-08-15,142
957,2018-08-16,126
958,2018-08-17,136
959,2018-08-18,70
960,2018-08-19,66
961,2018-08-20,155
962,2018-08-21,194
963,2018-08-22,151
964,2018-08-23,120
965,2018-08-24,141
966,2018-08-25,68
967,2018-08-26,57
968,2018-08-27,88
969,2018-08-28,168
970,2018-08-29,144
971,2018-08-30,125
972,2018-08-31,89
973,2018-09-01,54
974,2018-09-02,60
975,2018-09-03,73
976,2018-09-04,183
977,2018-09-05,169
978,2018-09-06,134
979,2018-09-07,106
980,2018-09-08,68
981,2018-09-09,68
982,2018-09-10,122
983,2018-09-11,142
984,2018-09-12,138
985,2018-09-13,111
986,2018-09-14,100
987,2018-09-15,60
988,2018-09-16,58
989,2018-09-17,131
990,2018-09-18,132
991,2018-09-19,122
992,2018-09-20,132
993,2018-09-21,131
994,2018-09-22,51
995,2018-09-23,65
996,2018-09-24,159
997,2018-09-25,156
998,2018-09-26,153
999,2018-09-27,136
1000,2018-09-28,104
1001,2018-09-29,81
1002,2018-09-30,61
1003,2018-10-01,135
1004,2018-10-02,176
1005,2018-10-03,187
1006,2018-10-04,174
1007,2018-10-05,153
1008,2018-10-06,90
1009,2018-10-07,82
1010,2018-10-08,198
1011,2018-10-09,191
1012,2018-10-10,166
1013,2018-10-11,196
1014,2018-10-12,142
1015,2018-10-13,72
1016,2018-10-14,95
1017,2018-10-15,177
1018,2018-10-16,167
1019,2018-10-17,148
1020,2018-10-18,121
1021,2018-10-19,122
1022,2018-10-20,65
1023,2018-10-21,83
1024,2018-10-22,209
1025,2018-10-23,161
1026,2018-10-24,177
1027,2018-10-25,158
1028,2018-10-26,133
1029,2018-10-27,73
1030,2018-10-28,81
1031,2018-10-29,208
1032,2018-10-30,179
1033,2018-10-31,144
1034,2018-11-01,134
1035,2018-11-02,108
1036,2018-11-03,84
1037,2018-11-04,87
1038,2018-11-05,176
1039,2018-11-06,195
1040,2018-11-07,161
1041,2018-11-08,137
1042,2018-11-09,99
1043,2018-11-10,69
1044,2018-11-11,63
1045,2018-11-12,128
1046,2018-11-13,147
1047,2018-11-14,127
1048,2018-11-15,143
1049,2018-11-16,97
1050,2018-11-17,100
1051,2018-11-18,48
1052,2018-11-19,142
1053,2018-11-20,148
1054,2018-11-21,95
1055,2018-11-22,37
1056,2018-11-23,75
1057,2018-11-24,64
1058,2018-11-25,86
1059,2018-11-26,160
1060,2018-11-27,161
1061,2018-11-28,205
1062,2018-11-29,122
1063,2018-11-30,116
1064,2018-12-01,77
1065,2018-12-02,63
1066,2018-12-03,125
1067,2018-12-04,112
1068,2018-12-05,109
1069,2018-12-06,119
1070,2018-12-07,134
1071,2018-12-08,90
1072,2018-12-09,81
1073,2018-12-10,171
1074,2018-12-11,214
1075,2018-12-12,151
1076,2018-12-13,217
1077,2018-12-14,147
1078,2018-12-15,79
1079,2018-12-16,83
1080,2018-12-17,224
1081,2018-12-18,184
1082,2018-12-19,131
1083,2018-12-20,103
1084,2018-12-21,102
1085,2018-12-22,70
1086,2018-12-23,65
1087,2018-12-24,70
